Path,Score,Issues,Warnings,Title,HasH1,HasCanonical,HasSchema
"/terms-of-service/index.html",62,1,4,"Terms of Service | Marga Enterprises",true,true,false
"/copier-rental/printer-and-copier-leasing-smart-solution-for-businesses/copier-rental-for-smbs/budgeting-for-copiers-in-smbs-marga-copier-rental/index.html",77,0,3,"Budgeting for Copiers in SMBs",true,true,true
"/copier-rental/printer-and-copier-leasing-smart-solution-for-businesses/eco-friendly-copier-rental/benefits-of-eco-friendly-copiers/index.html",77,0,3,"Eco-Friendly Copiers",true,true,true
"/copier-rental/printer-and-copier-leasing-smart-solution-for-businesses/maintenance-and-support/assessing-copier-health-and-performance/index.html",77,0,3,"Copier Health and Performance",true,true,true
"/pricing-guide/index.html",77,0,3,"Complete Pricing Guide",true,true,true
"/blogs/access-to-latest-technology/index.html",85,0,2,"Access to Latest Technology",true,true,true
"/blogs/benefits-of-analog-copiers/index.html",85,0,2,"Benefits of Analog Copiers",true,true,true
"/blogs/choosing-a-color-copier/index.html",85,0,2,"Choosing a Color Copier",true,true,true
"/blogs/choosing-the-right-copier-lease-a-comprehensive-guide/index.html",85,0,2,"Right Copier Lease Guide",true,true,true
"/blogs/color-copier-staff-training/index.html",85,0,2,"Color Copier Staff Training",true,true,true
"/blogs/comprehensive-copier-leasing-solutions-philippines-marga/index.html",85,0,2,"Optimizing Business Operations with Comprehensive Copier Leasing Solutions",true,true,true
"/blogs/copier-lease-experience-the-ultimate-rental-bliss/index.html",85,0,2,"Avoid Copier Lease Pitfalls",true,true,true
"/blogs/copier-leasing-a-strategic-investment/index.html",85,0,2,"Copier Leasing for Business",true,true,true
"/blogs/copier-leasing-solutions-a-path-to-efficiency/index.html",85,0,2,"Copier Leasing Solutions: A Path to Efficiency and Productivity",true,true,true
"/blogs/copier-models-for-office-use/index.html",85,0,2,"Copier Models for Office Use",true,true,true
"/blogs/copier-rental-a-practical-guide-to-affordable-printing-solutions/index.html",85,0,2,"Copier Rental: A Practical Guide to Affordable Printing Solutions",true,true,true
"/blogs/copier-rental-faqs-2/index.html",85,0,2,"Copier Rental FAQs",true,true,true
"/blogs/copier-rental-for-events/index.html",85,0,2,"Copier Rental for Events",true,true,true
"/blogs/copier-rental-for-schools-2/index.html",85,0,2,"Copier Rental for Schools",true,true,true
"/blogs/copier-rental-for-smbs-2/index.html",85,0,2,"Copier Rental for SMBs",true,true,true
"/blogs/desktop-printers-for-rent/index.html",85,0,2,"Desktop Printers for Rent",true,true,true
"/blogs/eco-friendly-copier-rental-3/index.html",85,0,2,"Eco-Friendly Copier Rental",true,true,true
"/blogs/eco-friendly-print-tech/index.html",85,0,2,"Eco-Friendly Print Tech",true,true,true
"/blogs/eco-ink-and-toner/index.html",85,0,2,"Eco Ink &amp; Toner",true,true,true
"/blogs/enhancing-color-in-copiers/index.html",85,0,2,"Enhancing Color in Copiers",true,true,true
"/blogs/enhancing-your-business-with-effective-printer-leasing/index.html",85,0,2,"Enhancing Your Business with Cost-Effective Printer Leasing Solutions",true,true,true
"/blogs/future-of-printer-rentals/index.html",85,0,2,"Future of Printer Rentals",true,true,true
"/blogs/green-printers-for-offices/index.html",85,0,2,"Green Printers for Offices",true,true,true
"/blogs/harnessing-power-of-printer-leasing-for-business-growth/index.html",85,0,2,"Harnessing the Power of Printer Leasing: A Strategic Approach for Business Growth",true,true,true
"/blogs/high-volume-copier-features/index.html",85,0,2,"High-Volume Copier Features",true,true,true
"/blogs/home-office-printer-rentals/index.html",85,0,2,"Home Office Printer Rentals",true,true,true
"/blogs/how-to-negotiate-rental-terms/index.html",85,0,2,"How to Negotiate Rental Terms",true,true,true
"/blogs/industrial-printers-for-rent/index.html",85,0,2,"Industrial Printers for Rent",true,true,true
"/blogs/luxury-copier-rental/index.html",85,0,2,"Luxury Copier Rental",true,true,true
"/blogs/maintenance-and-support-faqs/index.html",85,0,2,"Maintenance and Support FAQs",true,true,true
"/blogs/making-the-most-of-your-printer-lease-expert-tips/index.html",85,0,2,"Making the Most of Your Printer Lease: Expert Tips and Insights",true,true,true
"/blogs/market-growth-and-expansion-2/index.html",85,0,2,"Market Growth and Expansion",true,true,true
"/blogs/market-growth-and-expansion-3/index.html",85,0,2,"Market Growth and Expansion",true,true,true
"/blogs/maximizing-efficiency-with-printer-rental/index.html",85,0,2,"Efficient Copier Rental Guide",true,true,true
"/blogs/navigating-the-world-of-copier-lease-in-the-philippines/index.html",85,0,2,"Navigating Copier Leasing PH",true,true,true
"/blogs/office-copier-rental-costs/index.html",85,0,2,"Office Copier Rental Costs",true,true,true
"/blogs/optimizing-business-outcomes-with-color-printer-rental/index.html",85,0,2,"Optimizing Business Outcomes",true,true,true
"/blogs/optimizing-your-business-with-the-right-copier-lease/index.html",85,0,2,"Optimizing Your Business",true,true,true
"/blogs/photocopier-rental-vs-purchase-best-for-business/index.html",85,0,2,"Photo Copier Rental vs. Purchase: What&#039;s Best for Your Business?",true,true,true
"/blogs/printer-rental-market-trends/index.html",85,0,2,"Printer Rental Market Trends",true,true,true
"/blogs/remote-printer-rental-tips/index.html",85,0,2,"Remote Printer Rental Tips",true,true,true
"/blogs/renting-vs-buying-a-copier/index.html",85,0,2,"Renting vs. Buying a Copier",true,true,true
"/blogs/smart-solutions-for-modern-businesses-copier-rental/index.html",85,0,2,"Maximize Copier Rental Efficiency",true,true,true
"/blogs/smb-copier-support-guide/index.html",85,0,2,"Support Options for SMBs",true,true,true
"/blogs/strategic-insights-into-copier-leasing-for-business/index.html",85,0,2,"Strategic Insights into Copier Leasing for Optimal Business Performance",true,true,true
"/blogs/sustainable-printers-for-home/index.html",85,0,2,"Sustainable Printers for Home",true,true,true
